path,role,bytes,why
overlay/MANIFEST.sha256,index,40038,Inventory / checksums.
README.md,index,4068,Inventory / checksums.
raw/flow/2026-07-21/10%FBS-p1.fcs,assay_dev,2951240,Media/passage/3D-vs-2D screen. Different search space from Hall/Ogle ECM BO.
raw/flow/2026-07-21/10fbs-p2.fcs,assay_dev,4684968,Media/passage/3D-vs-2D screen. Different search space from Hall/Ogle ECM BO.
raw/flow/2026-07-21/20260721.xit,instrument_sidecar,267723,CytExpert experiment file for 2026-07-21.
raw/flow/2026-07-21/EGM-3D-p0.fcs,assay_dev,3135008,Media/passage/3D-vs-2D screen. Different search space from Hall/Ogle ECM BO.
raw/flow/2026-07-21/ExpSummaryForAPI.xml,instrument_sidecar,3485,CytExpert experiment file for 2026-07-21.
raw/flow/2026-07-21/N2-3D-P0.fcs,assay_dev,9903112,Media/passage/3D-vs-2D screen. Different search space from Hall/Ogle ECM BO.
raw/flow/2026-07-21/T75-p1.fcs,assay_dev,2547088,Media/passage/3D-vs-2D screen. Different search space from Hall/Ogle ECM BO.
raw/flow/2026-07-21/US.fcs,bo_gating,2689952,Unstained control for the 2026-07-21 media/passage screen.
raw/flow/2026-07-21/ec indu-p1.fcs,assay_dev,2236704,Media/passage/3D-vs-2D screen. Different search space from Hall/Ogle ECM BO.
raw/flow/2026-07-21/ec indu-p2.fcs,assay_dev,2609120,Media/passage/3D-vs-2D screen. Different search space from Hall/Ogle ECM BO.
raw/flow/2026-07-21/egm-3d-p1.fcs,assay_dev,3184256,Media/passage/3D-vs-2D screen. Different search space from Hall/Ogle ECM BO.
raw/flow/2026-07-21/n2-3d-p1.fcs,assay_dev,2905032,Media/passage/3D-vs-2D screen. Different search space from Hall/Ogle ECM BO.
raw/flow/2026-07-21/stem-p1.fcs,assay_dev,2255536,Media/passage/3D-vs-2D screen. Different search space from Hall/Ogle ECM BO.
raw/flow/2026-07-21/stem-p2.fcs,assay_dev,3033928,Media/passage/3D-vs-2D screen. Different search space from Hall/Ogle ECM BO.
raw/flow/2026-07-21/sunny-p3-1.fcs,assay_dev,2778432,Media/passage/3D-vs-2D screen. Different search space from Hall/Ogle ECM BO.
raw/flow/2026-07-21/sunny-p3.fcs,assay_dev,3394928,Media/passage/3D-vs-2D screen. Different search space from Hall/Ogle ECM BO.
raw/flow/2026-07-21/us-2.fcs,bo_gating,2762608,Unstained control for the 2026-07-21 media/passage screen.
raw/flow/2026-07-21/us-23.fcs,bo_gating,2928440,Unstained control for the 2026-07-21 media/passage screen.
raw/flow/2026-07-28/Exp_20260728_1/BEFORE2.fcs,bo_gating,3154464,CD31+/CD31-/ISO/US/pre-stain. Sets gates; not an experimental condition.
raw/flow/2026-07-28/Exp_20260728_1/Before.fcs,bo_gating,3158096,CD31+/CD31-/ISO/US/pre-stain. Sets gates; not an experimental condition.
raw/flow/2026-07-28/Exp_20260728_1/CD31+.fcs,bo_gating,5574152,CD31+/CD31-/ISO/US/pre-stain. Sets gates; not an experimental condition.
raw/flow/2026-07-28/Exp_20260728_1/CD31+P3.fcs,bo_gating,4464248,CD31+/CD31-/ISO/US/pre-stain. Sets gates; not an experimental condition.
raw/flow/2026-07-28/Exp_20260728_1/CD31-.fcs,bo_gating,2404952,CD31+/CD31-/ISO/US/pre-stain. Sets gates; not an experimental condition.
raw/flow/2026-07-28/Exp_20260728_1/ExpSummaryForAPI.xml,instrument_sidecar,2932,CytExpert experiment file for the 2026-07-28 gating panel.
raw/flow/2026-07-28/Exp_20260728_1/ISO.fcs,bo_gating,2373488,CD31+/CD31-/ISO/US/pre-stain. Sets gates; not an experimental condition.
raw/flow/2026-07-28/Exp_20260728_1/US.fcs,bo_gating,2370600,CD31+/CD31-/ISO/US/pre-stain. Sets gates; not an experimental condition.
raw/flow/2026-07-28/Exp_20260728_1.xit,instrument_sidecar,151437,CytExpert experiment file for the 2026-07-28 gating panel.
raw/flow/2026-08-06/Exp_20260806_1/3-1.fcs,blocked_needs_keymap,3356168,"Has events. Well ID maps to protocol-v3 (CHIR/BMP4/media) only after that map is locked; not an ECM (x,y) row."
raw/flow/2026-08-06/Exp_20260806_1/ExpSummaryForAPI.xml,instrument_sidecar,2994,CytExpert experiment file for Exp_20260806_1.
raw/flow/2026-08-06/Exp_20260806_1/US-new.fcs,bo_gating,5277904,Unstained control for the 2026-08-06 well-1-5 protocol screen.
raw/flow/2026-08-06/Exp_20260806_1/US-old.fcs,bo_gating,3100808,Unstained control for the 2026-08-06 well-1-5 protocol screen.
raw/flow/2026-08-06/Exp_20260806_1/well 1.fcs,blocked_needs_keymap,4658352,"Has events. Well ID maps to protocol-v3 (CHIR/BMP4/media) only after that map is locked; not an ECM (x,y) row."
raw/flow/2026-08-06/Exp_20260806_1/well 2.fcs,blocked_needs_keymap,4912192,"Has events. Well ID maps to protocol-v3 (CHIR/BMP4/media) only after that map is locked; not an ECM (x,y) row."
raw/flow/2026-08-06/Exp_20260806_1/well 3.fcs,blocked_needs_keymap,5934848,"Has events. Well ID maps to protocol-v3 (CHIR/BMP4/media) only after that map is locked; not an ECM (x,y) row."
